step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
24.0,[1],[163.80114976482375],[513.9715587786875],[0.0]
31.0,[2],[866.5910278683076],[2717.3438078701083],[0.0]
36.0,[2],[866.5910278683076],[2717.3438078701083],[0.0]
43.0,[4],[10239.04417431897],[32102.729275671743],[0.0]
48.0,[6],[15918.816595117509],[49910.51812844626],[0.0]
55.0,[6],[15918.816595117509],[49910.51812844626],[0.0]
60.0,[9],[19065.217139353546],[59775.38138178608],[0.0]
67.0,[10],[22640.605840482654],[70985.27190109657],[0.0]
72.0,[11],[22640.605840482654],[70985.27190109657],[0.0]
79.0,[12],[23185.17460866469],[72692.57471179923],[6.0]
86.0,[15],[24350.82897086341],[76347.17511901743],[6.0]
91.0,[15],[24350.82897086341],[76347.17511901743],[6.0]
98.0,[17],[25459.557236622546],[79823.30378113374],[6.0]
103.0,[18],[25459.557236622546],[79823.30378113374],[6.0]
110.0,[21],[25459.557236622546],[79823.30378113374],[10.0]
115.0,[21],[25459.557236622546],[79823.30378113374],[10.0]
122.0,[23],[32585.010099026083],[102163.63863485036],[12.0]
127.0,[25],[34494.04385215499],[108148.91604548522],[12.0]
134.0,[27],[38529.496580967854],[120801.2437607996],[17.0]
139.0,[29],[42431.16662669248],[133034.0186748876],[24.0]
146.0,[31],[44001.753035314716],[137992.64567513496],[24.0]
151.0,[33],[48989.442641888876],[153629.13704344863],[24.0]
158.0,[36],[53195.31404082948],[166815.79133834725],[30.0]
163.0,[38],[55773.32006485357],[174898.57269049512],[30.0]
170.0,[40],[57563.85643537402],[180512.369817943],[49.0]
175.0,[41],[57563.85643537402],[180512.369817943],[103.0]
182.0,[42],[57563.85643537402],[180512.369817943],[103.0]
187.0,[42],[57563.85643537402],[180512.369817943],[103.0]
194.0,[45],[63545.99960402477],[199268.10902214708],[103.0]
201.0,[48],[70689.94417041203],[221666.31223159336],[103.0]
206.0,[49],[75892.5050747844],[237975.8175778404],[103.0]
213.0,[52],[75892.5050747844],[237975.8175778404],[103.0]
218.0,[54],[77824.96057442852],[244034.2286592712],[105.0]
225.0,[55],[77824.96057442852],[244034.2286592712],[129.0]
230.0,[56],[77824.96057442852],[244034.2286592712],[130.0]
237.0,[61],[86585.79955858832],[271500.23975289095],[130.0]
242.0,[63],[88273.48236507758],[276791.55381537264],[132.0]
249.0,[67],[91191.19905299121],[285939.26132334507],[135.0]
254.0,[69],[94946.92459996985],[297714.55956998764],[135.0]
261.0,[73],[94946.92459996985],[297714.55956998764],[136.0]
266.0,[74],[94946.92459996985],[297714.55956998764],[140.0]
273.0,[76],[97744.00272406958],[306484.14193574316],[148.0]
280.0,[80],[105299.80958992714],[330172.8839533247],[149.0]
287.0,[83],[105299.80958992714],[330172.8839533247],[150.0]
292.0,[86],[106120.66750867943],[332746.428819337],[150.0]
299.0,[88],[106120.66750867943],[332746.428819337],[150.0]
304.0,[91],[110578.04991072109],[346721.50875262986],[154.0]
311.0,[93],[110578.04991072109],[346721.50875262986],[157.0]
316.0,[98],[118234.59043945104],[370726.8968693232],[195.0]
323.0,[100],[122494.69899596802],[384083.5487429893],[197.0]
328.0,[100],[122494.69899596802],[384083.5487429893],[197.0]
335.0,[105],[124386.95763111686],[390015.81032050494],[213.0]
342.0,[112],[128144.01021305709],[401794.8432153506],[249.0]
347.0,[115],[137423.42401440744],[430885.8043568063],[291.0]
354.0,[119],[138240.75185445233],[433448.2939141272],[304.0]
359.0,[122],[138240.75185445233],[433448.2939141272],[309.0]
366.0,[127],[144737.97898884988],[453818.80998737284],[309.0]
371.0,[128],[146768.24529180792],[460184.2250233682],[309.0]
378.0,[131],[147694.24680043253],[463087.45216352656],[314.0]
383.0,[133],[150501.08543087877],[471887.5591290169],[314.0]
390.0,[135],[150853.60808433915],[472992.59697859094],[315.0]
395.0,[140],[162809.69842749782],[510475.0562096231],[321.0]
402.0,[143],[162809.69842749782],[510475.0562096231],[350.0]
407.0,[147],[163523.68696722796],[512713.5446782263],[354.0]
414.0,[147],[163523.68696722796],[512713.5446782263],[354.0]
419.0,[149],[166458.1405354558],[521913.8990731454],[371.0]
426.0,[152],[167266.03683240528],[524446.7600434273],[392.0]
431.0,[154],[168247.65350606074],[527524.3371659096],[392.0]
438.0,[156],[171926.86190871388],[539059.7307180092],[426.0]
443.0,[160],[176175.28699503563],[552379.667767959],[426.0]
450.0,[165],[178917.83761307065],[560978.2278137783],[426.0]
455.0,[168],[181046.94942120335],[567653.4774276492],[431.0]
462.0,[169],[182652.00332640283],[572685.693843121],[431.0]
467.0,[172],[182778.51399358205],[573082.8032893857],[443.0]
474.0,[174],[182778.51399358205],[573082.8032893857],[454.0]
479.0,[177],[184806.71378758],[579441.0063022575],[458.0]
486.0,[179],[186316.67199924166],[584175.1204657217],[478.0]
491.0,[181],[190264.51983981943],[596552.789986971],[478.0]
498.0,[188],[210676.2042382184],[660543.4893981391],[492.0]
503.0,[192],[210676.2042382184],[660543.4893981391],[525.0]
510.0,[195],[213933.7055394166],[670756.7040384547],[526.0]
515.0,[198],[216474.75007256566],[678723.5690008728],[542.0]
522.0,[200],[220748.40219084488],[692122.6050085814],[543.0]
527.0,[202],[220748.40219084488],[692122.6050085814],[553.0]
534.0,[205],[230297.3376088242],[722058.0662393223],[555.0]
541.0,[206],[230297.3376088242],[722058.0662393223],[555.0]
546.0,[208],[230297.3376088242],[722058.0662393223],[566.0]
553.0,[211],[230297.3376088242],[722058.0662393223],[632.0]
558.0,[214],[241490.11311775568],[757148.5750665654],[645.0]
565.0,[215],[241490.11311775568],[757148.5750665654],[645.0]
570.0,[215],[241490.11311775568],[757148.5750665654],[645.0]
577.0,[217],[241490.11311775568],[757148.5750665654],[645.0]
582.0,[217],[241490.11311775568],[757148.5750665654],[645.0]
589.0,[218],[242325.70192776897],[759768.3147642389],[648.0]
594.0,[223],[242325.70192776897],[759768.3147642389],[659.0]
601.0,[224],[243189.4554758578],[762476.3677893936],[659.0]
606.0,[226],[244052.6558717703],[765182.6764106822],[659.0]
613.0,[229],[246636.58747411368],[773283.9393968207],[678.0]
618.0,[231],[247589.92163467393],[776272.8527858075],[678.0]
