step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
24.0,[0],[0.0],[0.0],[0.0]
31.0,[2],[744.9032632204373],[2335.419418344927],[0.0]
36.0,[2],[744.9032632204373],[2335.419418344927],[0.0]
43.0,[5],[4246.933116253538],[13315.301384043192],[0.0]
48.0,[6],[4246.933116253538],[13315.301384043192],[0.0]
55.0,[6],[4246.933116253538],[13315.301384043192],[0.0]
60.0,[10],[9094.89855369242],[28514.96298467903],[0.0]
67.0,[10],[9094.89855369242],[28514.96298467903],[0.0]
72.0,[10],[9094.89855369242],[28514.96298467903],[0.0]
79.0,[12],[9094.89855369242],[28514.96298467903],[2.0]
84.0,[12],[9094.89855369242],[28514.96298467903],[2.0]
91.0,[13],[9697.509490985829],[30404.211173783715],[2.0]
96.0,[15],[11597.845844939453],[36362.27276874173],[2.0]
103.0,[19],[13564.253147308082],[42527.475415381006],[5.0]
108.0,[21],[16450.768199233167],[51577.48929584272],[7.0]
115.0,[22],[18762.335995118294],[58824.84996282125],[7.0]
120.0,[23],[18762.335995118294],[58824.84996282125],[7.0]
127.0,[27],[18762.335995118294],[58824.84996282125],[13.0]
132.0,[29],[23093.357331448588],[72403.88388515785],[13.0]
139.0,[29],[23093.357331448588],[72403.88388515785],[13.0]
144.0,[33],[25539.613382791467],[80094.19243444283],[15.0]
151.0,[37],[27559.35119748003],[86426.61192057037],[20.0]
156.0,[37],[27559.35119748003],[86426.61192057037],[20.0]
163.0,[38],[27559.35119748003],[86426.61192057037],[20.0]
168.0,[40],[31524.72395208944],[98857.83018783794],[20.0]
175.0,[42],[31524.72395208944],[98857.83018783794],[36.0]
180.0,[43],[31524.72395208944],[98857.83018783794],[47.0]
187.0,[45],[36481.468205316174],[114398.5305481871],[52.0]
194.0,[46],[39802.461671346326],[124809.61288002471],[52.0]
201.0,[48],[42460.06355820227],[133142.1843353503],[52.0]
206.0,[49],[42460.06355820227],[133142.1843353503],[52.0]
213.0,[54],[54012.29367483144],[169359.74602031292],[81.0]
218.0,[57],[56224.30021136498],[176294.36771939904],[82.0]
225.0,[58],[57030.95712686353],[178823.3732958418],[82.0]
230.0,[61],[59988.49456615417],[188095.85596821937],[82.0]
237.0,[62],[59988.49456615417],[188095.85596821937],[82.0]
242.0,[63],[65281.74026230911],[204689.60025902433],[82.0]
249.0,[66],[68899.160552719],[216031.0554577071],[82.0]
254.0,[67],[69608.08128410215],[218253.65017939484],[82.0]
261.0,[70],[71607.22371529334],[224521.50869895084],[83.0]
266.0,[74],[71607.22371529334],[224521.50869895084],[85.0]
273.0,[75],[72517.9378124529],[227376.7676480575],[85.0]
278.0,[79],[80042.47825077357],[250965.39705977374],[85.0]
285.0,[82],[83152.41787196758],[260715.9549467751],[116.0]
290.0,[84],[84531.2362802314],[265038.89412798063],[118.0]
297.0,[90],[93362.38971802531],[292781.73270514293],[124.0]
302.0,[92],[96832.54974473055],[303661.57288391254],[173.0]
309.0,[94],[97537.70550624556],[305872.3676264545],[177.0]
314.0,[97],[97537.70550624556],[305872.3676264545],[177.0]
321.0,[102],[101374.77640807726],[317902.5639272786],[210.0]
328.0,[105],[104933.96525064825],[329061.55889182555],[210.0]
333.0,[108],[105981.09006481327],[332344.53502295393],[212.0]
340.0,[112],[113377.95126548805],[355534.22749370546],[237.0]
345.0,[112],[113377.95126548805],[355534.22749370546],[237.0]
352.0,[116],[114572.06324608321],[359278.05236562924],[237.0]
357.0,[117],[115113.37625136085],[360975.14341283194],[237.0]
364.0,[125],[121321.91431635089],[380440.6303265999],[260.0]
369.0,[128],[121321.91431635089],[380440.6303265999],[262.0]
376.0,[131],[121321.91431635089],[380440.6303265999],[286.0]
381.0,[134],[121850.13323996765],[382096.6437570163],[286.0]
388.0,[135],[125485.35158801671],[393494.08268194925],[312.0]
393.0,[138],[129568.72553802925],[406296.6442691181],[313.0]
400.0,[139],[129568.72553802925],[406296.6442691181],[313.0]
405.0,[142],[135262.62649727674],[424148.65326127183],[323.0]
412.0,[147],[135262.62649727674],[424148.65326127183],[339.0]
417.0,[150],[136725.03143217784],[428733.43936518696],[339.0]
424.0,[152],[136725.03143217784],[428733.43936518696],[346.0]
429.0,[155],[142540.4995834045],[446965.6146264197],[401.0]
436.0,[157],[147142.6701014847],[461394.7917501878],[402.0]
441.0,[157],[147142.6701014847],[461394.7917501878],[402.0]
448.0,[165],[151178.56508506066],[474048.3748950952],[405.0]
453.0,[169],[151649.0749679464],[475523.488942366],[406.0]
460.0,[171],[151649.0749679464],[475523.488942366],[406.0]
465.0,[172],[151649.0749679464],[475523.488942366],[408.0]
472.0,[174],[153000.69952684213],[479761.14060860133],[419.0]
477.0,[178],[153000.69952684213],[479761.14060860133],[451.0]
484.0,[181],[153000.69952684213],[479761.14060860133],[459.0]
489.0,[183],[153896.43658988408],[482569.4453352303],[482.0]
496.0,[187],[157755.36931758063],[494668.3376469975],[504.0]
503.0,[194],[168808.21171621926],[529320.0056875759],[590.0]
508.0,[194],[168808.21171621926],[529320.0056875759],[590.0]
515.0,[195],[168808.21171621926],[529320.0056875759],[594.0]
520.0,[199],[173966.62425081615],[545493.0564834814],[621.0]
527.0,[201],[178229.36539576817],[558858.0089279043],[628.0]
532.0,[202],[183630.9456593957],[575793.585690486],[637.0]
539.0,[204],[188792.1727530093],[591975.5545797466],[642.0]
544.0,[205],[193891.1502428928],[607962.3756241637],[647.0]
551.0,[212],[207163.58806292983],[649575.1797872733],[706.0]
558.0,[216],[214203.82112974295],[671648.3223233875],[760.0]
565.0,[219],[215471.60467026895],[675622.7225300935],[791.0]
570.0,[220],[215471.60467026895],[675622.7225300935],[818.0]
577.0,[222],[215471.60467026895],[675622.7225300935],[818.0]
582.0,[223],[216208.24460751022],[677932.2202947754],[818.0]
589.0,[224],[219891.41552812234],[689480.0433464271],[818.0]
594.0,[227],[219891.41552812234],[689480.0433464271],[826.0]
601.0,[231],[223620.359683728],[701171.2676057222],[838.0]
606.0,[233],[226866.58864782908],[711348.9935852689],[838.0]
613.0,[236],[228650.43176797355],[716941.8075193362],[850.0]
618.0,[239],[229309.13617941618],[719006.9636692076],[899.0]
