step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
26.0,[0],[0.0],[0.0],[0.0]
33.0,[1],[0.0],[0.0],[0.0]
40.0,[2],[1552.514437974744],[4867.530894964475],[0.0]
47.0,[2],[1552.514437974744],[4867.530894964475],[0.0]
54.0,[3],[1552.514437974744],[4867.530894964475],[0.0]
61.0,[6],[5584.988986167318],[17510.41784166012],[0.0]
66.0,[6],[5584.988986167318],[17510.41784166012],[0.0]
73.0,[8],[8497.022112765819],[26640.46288104455],[0.0]
80.0,[9],[8497.022112765819],[26640.46288104455],[0.0]
85.0,[11],[10653.442718283584],[33401.41547961269],[0.0]
92.0,[11],[10653.442718283584],[33401.41547961269],[0.0]
97.0,[12],[10653.442718283584],[33401.41547961269],[0.0]
104.0,[15],[10653.442718283584],[33401.41547961269],[0.0]
109.0,[19],[17774.92840604468],[55729.332152903735],[5.0]
116.0,[21],[24176.103239971046],[75798.93383817896],[5.0]
123.0,[22],[30489.379677228717],[95592.95320149575],[5.0]
130.0,[24],[31325.33487644518],[98213.7033269079],[6.0]
135.0,[28],[32995.299194493],[103449.2535747387],[10.0]
142.0,[31],[39933.82263916658],[125203.464836728],[16.0]
147.0,[32],[39933.82263916658],[125203.464836728],[16.0]
154.0,[37],[46325.12649212881],[145241.8842993748],[17.0]
159.0,[38],[46325.12649212881],[145241.8842993748],[17.0]
166.0,[40],[49916.51135216257],[156501.8775069918],[17.0]
171.0,[41],[55106.90439689706],[172775.29214028976],[17.0]
178.0,[41],[55106.90439689706],[172775.29214028976],[17.0]
185.0,[42],[58998.14108754947],[184975.42365287285],[17.0]
192.0,[43],[65505.50335586578],[205375.15606600195],[17.0]
199.0,[43],[65505.50335586578],[205375.15606600195],[17.0]
206.0,[46],[72158.67886480853],[226234.69108094295],[23.0]
213.0,[51],[73692.5085301773],[231043.57090086013],[51.0]
220.0,[53],[76176.25350539919],[238830.80760865548],[56.0]
227.0,[55],[83401.72633577534],[261482.20660113532],[56.0]
234.0,[59],[92471.72645951765],[289916.9987097067],[84.0]
239.0,[60],[92471.72645951765],[289916.9987097067],[84.0]
246.0,[63],[92471.72645951765],[289916.9987097067],[84.0]
253.0,[67],[100113.85156660063],[313877.2017015675],[84.0]
258.0,[69],[100113.85156660063],[313877.2017015675],[84.0]
265.0,[73],[103045.67668873469],[323069.3032912951],[129.0]
270.0,[73],[103045.67668873469],[323069.3032912951],[129.0]
277.0,[76],[107622.60391122152],[337419.31761505076],[129.0]
282.0,[77],[113825.93488865848],[356866.05206458684],[130.0]
289.0,[80],[117063.75562941835],[367017.30672659306],[141.0]
296.0,[83],[119256.28108492146],[373913.16741532186],[145.0]
301.0,[87],[130952.70280436294],[410584.84334115783],[174.0]
308.0,[90],[132051.3554129699],[414029.372594846],[174.0]
315.0,[92],[132051.3554129699],[414029.372594846],[177.0]
322.0,[94],[134648.7363407301],[422172.8822396073],[198.0]
327.0,[97],[137942.55565140513],[432499.9301188768],[212.0]
334.0,[103],[139753.64534080192],[438178.00961158786],[233.0]
339.0,[107],[156628.9065658888],[491079.4591112934],[246.0]
346.0,[111],[161889.27891145105],[507572.19163910585],[246.0]
351.0,[113],[162511.19769856764],[509522.0217167202],[247.0]
358.0,[114],[162912.96597951656],[510781.60968254186],[247.0]
363.0,[119],[167969.339797462],[526634.707170296],[324.0]
370.0,[122],[170373.3097813074],[534171.8020682737],[324.0]
375.0,[125],[171657.86270722855],[538199.1659519551],[337.0]
382.0,[128],[172681.2722172739],[541407.5152978436],[338.0]
389.0,[131],[172681.2722172739],[541407.5152978436],[338.0]
396.0,[132],[172681.2722172739],[541407.5152978436],[338.0]
401.0,[133],[173384.1638174643],[543611.3043854091],[338.0]
408.0,[134],[174216.7706923303],[546221.6951332875],[338.0]
413.0,[136],[178183.36535835193],[558658.1408139366],[346.0]
420.0,[140],[185035.43477433504],[580141.3124425433],[351.0]
427.0,[145],[185712.13756701103],[582262.8999427693],[372.0]
432.0,[149],[196821.52794255753],[617093.9757772418],[516.0]
439.0,[151],[202472.79885183185],[634812.2563783732],[579.0]
446.0,[157],[203373.11314751912],[637634.9117257214],[631.0]
453.0,[159],[204091.38400224448],[639886.8270014308],[633.0]
458.0,[161],[204091.38400224448],[639886.8270014308],[686.0]
465.0,[162],[204091.38400224448],[639886.8270014308],[688.0]
472.0,[163],[211154.2819732547],[662031.1277160571],[691.0]
479.0,[164],[211154.2819732547],[662031.1277160571],[691.0]
486.0,[168],[216142.81749826335],[677670.5754077355],[727.0]
491.0,[171],[219279.7609435552],[687505.8028315889],[727.0]
498.0,[176],[226760.34104554125],[710959.4822012429],[763.0]
503.0,[182],[232113.51519908037],[727743.2090884345],[797.0]
510.0,[186],[237247.12953975043],[743838.5367344914],[834.0]
515.0,[188],[242155.13661303773],[759224.6322809341],[862.0]
522.0,[193],[246766.38526096733],[773682.2595217951],[869.0]
527.0,[193],[246766.38526096733],[773682.2595217951],[869.0]
534.0,[195],[253960.18790684783],[796236.9774511843],[877.0]
541.0,[197],[256019.0339023842],[802692.022895911],[877.0]
548.0,[200],[256019.0339023842],[802692.022895911],[880.0]
555.0,[202],[257643.53229286795],[807784.6984396513],[895.0]
562.0,[204],[265273.6935293227],[831704.7873330745],[904.0]
567.0,[205],[265273.6935293227],[831704.7873330745],[921.0]
574.0,[208],[272438.15436295373],[854167.3897698134],[921.0]
579.0,[210],[279113.8694493403],[875097.6812399174],[963.0]
586.0,[214],[286298.63607707684],[897623.4589107165],[986.0]
593.0,[217],[288967.495215128],[905990.7859680109],[1007.0]
598.0,[217],[288967.495215128],[905990.7859680109],[1007.0]
605.0,[222],[288967.495215128],[905990.7859680109],[1024.0]
612.0,[225],[291512.46157983114],[913969.9288685253],[1025.0]
617.0,[229],[293650.6389711378],[920673.6168001656],[1032.0]
624.0,[230],[293650.6389711378],[920673.6168001656],[1039.0]
631.0,[233],[293650.6389711378],[920673.6168001656],[1213.0]
638.0,[234],[293650.6389711378],[920673.6168001656],[1353.0]
645.0,[234],[293650.6389711378],[920673.6168001656],[1353.0]
650.0,[234],[293650.6389711378],[920673.6168001656],[1353.0]
