step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0],[0.0],[0.0],[0.0]
7.0,[5],[0],[9189.591031142656],[28811.829118137706],[0.0]
14.0,[8],[0],[10583.517138304012],[33182.05116193576],[0.0]
19.0,[10],[0],[10583.517138304012],[33182.05116193576],[0.0]
26.0,[14],[2],[13817.574113047445],[43321.55964436006],[0.0]
31.0,[17],[2],[15056.407035526685],[47205.51112334934],[0.0]
38.0,[19],[5],[15839.078760051958],[49659.350561960426],[0.0]
45.0,[23],[6],[18047.173345202234],[56582.1704770119],[0.0]
50.0,[25],[6],[18047.173345202234],[56582.1704770119],[0.0]
57.0,[27],[9],[19917.90264672022],[62447.32734456718],[0.0]
62.0,[30],[9],[21005.644717118135],[65857.65082735142],[0.0]
69.0,[35],[10],[23807.857680459536],[74643.10134868104],[0.0]
76.0,[37],[11],[24548.723219545474],[76965.86065504389],[0.0]
83.0,[40],[13],[27737.13593091475],[86962.25765282688],[0.0]
90.0,[44],[13],[30124.82967105857],[94448.1612352219],[0.0]
95.0,[45],[13],[30124.82967105857],[94448.1612352219],[0.0]
102.0,[48],[15],[33695.73478645916],[105643.8220344093],[0.0]
107.0,[52],[15],[36266.774999559624],[113704.56989164447],[0.0]
114.0,[55],[16],[38910.28558532468],[121992.53387085919],[0.0]
121.0,[58],[18],[42837.82130289049],[134306.33328758337],[0.0]
126.0,[62],[18],[45997.29130791372],[144212.01504755442],[0.0]
133.0,[64],[20],[47724.75217943027],[149627.9760843795],[0.0]
138.0,[66],[20],[48971.99572262649],[153538.3881645815],[0.0]
145.0,[69],[21],[51808.46467497738],[162431.44740478307],[0.0]
150.0,[72],[22],[54471.9339972188],[170782.0834461659],[0.0]
157.0,[75],[24],[55233.25760555279],[173168.9895298869],[0.0]
162.0,[77],[24],[55948.20997113844],[175410.4981377665],[0.0]
169.0,[80],[25],[58699.54010268024],[184036.50132551967],[0.0]
174.0,[83],[26],[62331.59626992783],[195423.86620762598],[0.0]
181.0,[86],[28],[64717.816528392934],[202905.15718470936],[0.0]
186.0,[88],[28],[66101.94024338311],[207244.73116474404],[0.0]
193.0,[93],[28],[69701.79004045975],[218531.12570787378],[0.0]
200.0,[96],[29],[71008.53905547356],[222628.01145551758],[0.0]
207.0,[98],[31],[72534.3679132791],[227411.78694051868],[0.0]
214.0,[102],[32],[74664.978561462],[234091.7422636307],[0.0]
219.0,[104],[33],[76644.25894059165],[240297.23216641243],[0.0]
226.0,[106],[35],[77641.4798286377],[243423.7344973418],[0.0]
231.0,[110],[36],[78813.03641588599],[247096.75924763607],[0.0]
238.0,[114],[36],[82014.32432496824],[257133.4557310208],[0.0]
245.0,[116],[38],[83433.98288645413],[261584.34821211113],[0.0]
252.0,[120],[39],[85528.52887526841],[268151.2305673883],[0.0]
257.0,[122],[39],[86826.63524316554],[272221.02442186745],[0.0]
264.0,[124],[42],[88922.88123155643],[278793.2342053958],[0.0]
269.0,[127],[42],[88922.88123155643],[278793.2342053958],[0.0]
276.0,[131],[43],[92717.33585651564],[290689.79783210455],[0.0]
281.0,[133],[43],[93642.26970408212],[293589.6597187163],[0.0]
288.0,[136],[45],[95424.06580558716],[299176.06302334904],[0.0]
293.0,[138],[45],[98212.71193556985],[307919.1711290105],[0.0]
300.0,[142],[46],[98906.97142146295],[310095.79514781735],[0.0]
305.0,[144],[46],[100132.22305580338],[313937.2473133739],[0.0]
312.0,[148],[48],[103657.56624296171],[324990.03968054825],[0.0]
317.0,[151],[48],[105177.20908848845],[329754.42714261037],[0.0]
324.0,[154],[49],[105979.33811795972],[332269.27270141046],[0.0]
331.0,[156],[51],[108606.85267686393],[340507.18828757026],[0.0]
338.0,[159],[52],[109889.24891195842],[344527.6909688307],[0.0]
343.0,[162],[52],[111409.2906382553],[349293.41414280725],[0.0]
350.0,[164],[53],[111409.2906382553],[349293.41414280725],[0.0]
355.0,[168],[53],[115106.66066606653],[360885.55672676244],[0.0]
362.0,[172],[54],[116427.01587485954],[365025.10582722496],[0.0]
369.0,[174],[56],[116427.01587485954],[365025.10582722496],[0.0]
376.0,[178],[57],[116919.78111643682],[366569.99144739617],[0.0]
381.0,[180],[58],[118909.81585580306],[372809.19509643177],[0.0]
388.0,[182],[60],[121477.05956258714],[380858.1298500825],[0.0]
393.0,[185],[61],[124610.46591740307],[390682.0773304663],[0.0]
400.0,[189],[61],[125903.03482508818],[394734.51319410896],[0.0]
405.0,[191],[61],[126621.07587869234],[396985.70649400516],[0.0]
412.0,[194],[63],[128224.1920917594],[402011.79941424256],[0.0]
417.0,[197],[63],[129698.08355497065],[406632.72993470856],[0.0]
424.0,[200],[64],[133668.91217980493],[419082.2698736484],[0.0]
431.0,[203],[66],[135469.29597394535],[424726.8618183891],[0.0]
436.0,[207],[66],[138726.17031045235],[434937.93046131736],[0.0]
443.0,[209],[69],[140591.3842920956],[440785.7785831795],[0.0]
448.0,[211],[69],[141786.06495884267],[444531.3861033724],[0.0]
455.0,[214],[71],[143734.97433225196],[450641.65233193384],[0.0]
460.0,[217],[71],[148146.1098152751],[464471.7007481713],[0.0]
467.0,[220],[74],[150379.96806912296],[471475.37229751865],[0.0]
472.0,[222],[74],[151560.46817929362],[475176.44612521346],[0.0]
479.0,[226],[74],[153615.59499860468],[481619.72979551903],[0.0]
486.0,[230],[75],[156114.8814166672],[489455.5130358241],[0.0]
493.0,[233],[77],[158275.8593692888],[496230.5999447238],[0.0]
500.0,[236],[78],[160395.73272401],[502876.8995076709],[0.0]
505.0,[238],[78],[163433.85493840754],[512402.1939970085],[0.0]
512.0,[241],[79],[165703.00753417824],[519516.41493203153],[0.0]
517.0,[243],[79],[168236.57228464895],[527459.7633871028],[0.0]
524.0,[247],[79],[170900.4555176866],[535811.6064889452],[0.0]
531.0,[251],[81],[174099.37882285364],[545840.9943751466],[0.0]
538.0,[253],[82],[174559.3924382175],[547283.1841683317],[0.0]
543.0,[256],[83],[176192.21090244304],[552402.40472187],[0.0]
550.0,[259],[83],[177386.04759905726],[556145.2766530416],[0.0]
555.0,[261],[83],[177386.04759905726],[556145.2766530416],[0.0]
562.0,[265],[83],[178794.52974491316],[560561.0439935562],[0.0]
569.0,[268],[84],[181611.4571319546],[569392.8317462956],[0.0]
576.0,[271],[86],[183011.63823295085],[573782.6598693051],[0.0]
581.0,[274],[86],[185797.67573981284],[582517.4991503672],[0.0]
588.0,[278],[87],[187844.31104020658],[588934.0843822568],[0.0]
593.0,[279],[87],[188610.51767914262],[591336.2991146164],[0.0]
600.0,[282],[88],[189496.13703754288],[594112.8992343768],[0.0]
605.0,[285],[88],[190345.36675436763],[596775.4169457532],[0.0]
612.0,[288],[90],[191755.4784691935],[601196.3862543537],[0.0]
617.0,[291],[90],[192513.71165111792],[603573.6008350409],[0.0]
624.0,[293],[91],[194623.06278260247],[610186.8993035201],[0.0]
629.0,[296],[91],[194623.06278260247],[610186.8993035201],[0.0]
636.0,[299],[94],[195219.77877168104],[612057.7067306972],[0.0]
641.0,[301],[94],[197079.82181066307],[617889.4403049017],[0.0]
648.0,[305],[94],[200293.86024971685],[627966.1040038036],[0.0]
655.0,[309],[95],[203607.97175261428],[638356.6305044892],[0.0]
662.0,[311],[97],[203607.97175261428],[638356.6305044892],[0.0]
669.0,[315],[98],[205781.7292072922],[645171.86444326],[0.0]
674.0,[317],[99],[207203.26714139464],[649628.6655423194],[0.0]
681.0,[319],[101],[208418.78438815454],[653439.6115074306],[0.0]
686.0,[323],[101],[213501.6953330748],[669375.8698370999],[0.0]
693.0,[326],[101],[216693.57286991764],[679383.1060795013],[0.0]
700.0,[329],[103],[217412.56861173362],[681637.2928307861],[0.0]
707.0,[333],[104],[218067.4537837631],[683690.4765307282],[0.0]
712.0,[335],[105],[219336.40842833792],[687668.958026021],[0.0]
719.0,[337],[107],[220765.5064473277],[692149.4573205638],[0.0]
724.0,[340],[108],[220765.5064473277],[692149.4573205638],[0.0]
731.0,[344],[109],[223058.38781294957],[699338.0850919695],[0.0]
738.0,[346],[109],[225780.8572908706],[707873.7176264396],[0.0]
745.0,[350],[111],[228046.8384881564],[714978.1106765695],[0.0]
750.0,[353],[111],[231437.83162533434],[725609.7622054443],[0.0]
757.0,[357],[113],[233395.95597794803],[731748.8339014101],[0.0]
762.0,[358],[114],[234149.56403523032],[734111.5467175532],[0.0]
769.0,[362],[115],[237684.10728783155],[745193.1891615744],[0.0]
774.0,[364],[115],[237684.10728783155],[745193.1891615744],[0.0]
