step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6016.912503688834],[18864.219473258858],[0.0]
1.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
2.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
3.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
4.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
5.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
6.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
7.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
8.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
9.0,[19],[13968.229179181386],[43793.075669545666],[0.0]
10.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
11.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
12.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
13.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
14.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
15.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
16.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
17.0,[20],[14637.115700753693],[45890.13092538802],[0.0]
18.0,[28],[20423.290069435167],[64030.87995434378],[0.0]
19.0,[28],[20423.290069435167],[64030.87995434378],[0.0]
20.0,[28],[20423.290069435167],[64030.87995434378],[0.0]
21.0,[28],[20423.290069435167],[64030.87995434378],[0.0]
22.0,[32],[23599.082804951016],[73987.65713246529],[0.0]
23.0,[32],[23599.082804951016],[73987.65713246529],[0.0]
24.0,[32],[23599.082804951016],[73987.65713246529],[0.0]
25.0,[32],[23599.082804951016],[73987.65713246529],[0.0]
26.0,[32],[23599.082804951016],[73987.65713246529],[0.0]
27.0,[37],[27448.708122349828],[86057.02050867185],[0.0]
28.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
29.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
30.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
31.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
32.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
33.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
34.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
35.0,[40],[29528.335068891225],[92577.00736869161],[0.0]
36.0,[48],[35566.908415826125],[111509.14703016201],[0.0]
37.0,[48],[35566.908415826125],[111509.14703016201],[0.0]
