step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6016.912503688834],[18864.219473258858],[0.0]
1.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
2.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
3.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
4.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
5.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
6.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
7.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
8.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
9.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
10.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
11.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
12.0,[15],[11096.50180227054],[34789.67267889058],[0.0]
13.0,[16],[11780.255937680393],[36933.35464999559],[0.0]
14.0,[16],[11780.255937680393],[36933.35464999559],[0.0]
15.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
16.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
17.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
18.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
19.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
20.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
21.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
22.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
23.0,[18],[13209.773729085995],[41415.158195393255],[0.0]
24.0,[25],[18391.456436427583],[57660.74102163034],[0.0]
25.0,[26],[19058.014304223143],[59750.48961601678],[0.0]
26.0,[26],[19058.014304223143],[59750.48961601678],[0.0]
27.0,[26],[19058.014304223143],[59750.48961601678],[0.0]
28.0,[26],[19058.014304223143],[59750.48961601678],[0.0]
29.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
30.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
31.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
32.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
33.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
34.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
35.0,[28],[20501.424142826745],[64275.8523888213],[0.0]
36.0,[33],[24424.96268392681],[76576.96163509248],[0.0]
37.0,[34],[25107.083134591347],[78715.52063470212],[0.0]
