step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6016.912503688834],[18864.219473258858],[0.0]
1.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
2.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
3.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
4.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
5.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
6.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
7.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
8.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
9.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
10.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
11.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
12.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
13.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
14.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
15.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
16.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
17.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
18.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
19.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
20.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
21.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
22.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
23.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
24.0,[23],[16857.67661173428],[52852.036512994666],[0.0]
25.0,[26],[18880.659590858322],[59194.3907917387],[0.0]
26.0,[26],[18880.659590858322],[59194.3907917387],[0.0]
27.0,[26],[18880.659590858322],[59194.3907917387],[0.0]
28.0,[26],[18880.659590858322],[59194.3907917387],[0.0]
29.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
30.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
31.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
32.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
33.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
34.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
35.0,[28],[20324.069429461924],[63719.75356454322],[0.0]
36.0,[32],[23536.149996765787],[73790.30931973089],[0.0]
37.0,[34],[25011.603577881044],[78416.14437094406],[0.0]
