step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6032.848615098368],[18914.187827615242],[0.0]
1.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
2.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
3.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
4.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
5.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
6.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
7.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
8.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
9.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
10.0,[12],[8820.672589394952],[27654.503853557388],[0.0]
11.0,[14],[10328.19241249134],[32380.881507853057],[0.0]
12.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
13.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
14.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
15.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
16.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
17.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
18.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
19.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
20.0,[18],[13149.536215064949],[41226.3012775307],[0.0]
21.0,[20],[14625.124268984357],[45852.55808741307],[0.0]
22.0,[22],[15987.405226096978],[50123.529026868215],[0.0]
23.0,[22],[15987.405226096978],[50123.529026868215],[0.0]
24.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
25.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
26.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
27.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
28.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
29.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
30.0,[24],[17431.879738560703],[54652.22950306492],[0.0]
31.0,[26],[18840.43312071742],[59068.297142165866],[0.0]
32.0,[28],[20174.412685867064],[63250.503801349005],[0.0]
33.0,[28],[20174.412685867064],[63250.503801349005],[0.0]
34.0,[28],[20174.412685867064],[63250.503801349005],[0.0]
