step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6697.777777777779],[20997.777777777777],[0.0]
1.0,[8],[6697.777777777779],[20997.777777777777],[0.0]
2.0,[8],[6697.777777777779],[20997.777777777777],[0.0]
3.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
4.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
5.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
6.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
7.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
8.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
9.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
10.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
11.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
12.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
13.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
14.0,[12],[10046.666666666668],[31496.666666666664],[0.0]
15.0,[20],[16744.444444444445],[52494.44444444444],[0.0]
16.0,[20],[16744.444444444445],[52494.44444444444],[0.0]
17.0,[20],[16744.444444444445],[52494.44444444444],[0.0]
18.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
19.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
20.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
21.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
22.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
23.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
24.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
25.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
26.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
27.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
28.0,[24],[20093.333333333336],[62993.33333333333],[0.0]
29.0,[29],[24279.444444444445],[76116.94444444444],[0.0]
30.0,[29],[24279.444444444445],[76116.94444444444],[0.0]
31.0,[29],[24279.444444444445],[76116.94444444444],[0.0]
32.0,[32],[26791.111111111113],[83991.11111111111],[0.0]
33.0,[32],[26791.111111111113],[83991.11111111111],[0.0]
34.0,[32],[26791.111111111113],[83991.11111111111],[0.0]
35.0,[32],[26791.111111111113],[83991.11111111111],[0.0]
36.0,[36],[30140.0],[94490.0],[0.0]
37.0,[36],[30140.0],[94490.0],[0.0]
38.0,[36],[30140.0],[94490.0],[0.0]
39.0,[36],[30140.0],[94490.0],[0.0]
40.0,[36],[30140.0],[94490.0],[0.0]
41.0,[36],[30140.0],[94490.0],[0.0]
42.0,[36],[30140.0],[94490.0],[0.0]
43.0,[36],[30140.0],[94490.0],[0.0]
44.0,[41],[34326.11111111111],[107613.61111111111],[0.0]
45.0,[41],[34326.11111111111],[107613.61111111111],[0.0]
46.0,[41],[34326.11111111111],[107613.61111111111],[0.0]
47.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
48.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
49.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
50.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
51.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
52.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
53.0,[44],[36837.777777777774],[115487.77777777778],[0.0]
54.0,[47],[39349.44444444444],[123361.94444444445],[0.0]
55.0,[47],[39349.44444444444],[123361.94444444445],[0.0]
56.0,[48],[40186.66666666666],[125986.66666666667],[0.0]
57.0,[48],[40186.66666666666],[125986.66666666667],[0.0]
58.0,[52],[43535.55555555555],[136485.55555555556],[0.0]
59.0,[53],[44372.77777777777],[139110.27777777778],[0.0]
60.0,[53],[44372.77777777777],[139110.27777777778],[0.0]
61.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
62.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
63.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
64.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
65.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
66.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
67.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
68.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
69.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
70.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
71.0,[56],[46884.44444444443],[146984.44444444444],[0.0]
72.0,[63],[52744.999999999985],[165357.5],[0.0]
73.0,[64],[53582.222222222204],[167982.22222222222],[0.0]
74.0,[64],[53582.222222222204],[167982.22222222222],[0.0]
75.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
76.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
77.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
78.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
79.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
80.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
81.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
82.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
83.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
84.0,[68],[56931.111111111095],[178481.1111111111],[0.0]
